iter	Logloss
0	0.6030793396
1	0.5652416779
2	0.5383492279
3	0.5188686401
4	0.5032272491
5	0.4903057404
6	0.4789702209
7	0.4692724915
8	0.4602780823
9	0.4523641357
10	0.4466632416
11	0.439984726
12	0.4345666901
13	0.4296285614
14	0.4246743256
15	0.4195180832
16	0.4148133331
17	0.4107612686
18	0.4069371445
19	0.4030987961
20	0.4000938538
21	0.3969964584
22	0.3937814041
23	0.3903340454
24	0.3874583374
25	0.3846400238
26	0.3814848221
27	0.3774603546
28	0.3747551254
29	0.3719594604
30	0.3691020279
31	0.3664817825
32	0.364040184
33	0.3616380493
34	0.3591372025
35	0.3567342407
36	0.3545970627
37	0.3523588257
38	0.350042569
39	0.3477883026
40	0.3455120728
41	0.3435462723
42	0.3415764587
43	0.3396255753
44	0.3378139877
45	0.3359960602
46	0.3340979111
47	0.332138504
48	0.3301677658
49	0.3284049438
50	0.326678833
51	0.3249776337
52	0.3234206055
53	0.3219273529
54	0.3204637772
55	0.3187652924
56	0.3172470428
57	0.315678067
58	0.3141644424
59	0.3127644135
60	0.3113524216
61	0.3098285797
62	0.3085428879
63	0.3066575684
64	0.3052070663
65	0.3037882217
66	0.3023452301
67	0.3011875717
68	0.2999290741
69	0.2988304199
70	0.297524202
71	0.2964719696
72	0.2952069122
73	0.2941284515
74	0.2931252808
75	0.2917831055
76	0.2905401413
77	0.2895115128
78	0.2882511765
79	0.2871141876
80	0.2860759048
81	0.2850592865
82	0.2841853134
83	0.2833045105
84	0.2822924683
85	0.2812593689
86	0.2802853409
87	0.2792773941
88	0.2783056015
89	0.2775206253
90	0.2765558136
91	0.2755936096
92	0.2748447433
93	0.2738900864
94	0.272811853
95	0.2719565933
96	0.271256134
97	0.2703263702
98	0.2695050827
99	0.2686057999
