iter	Passed	Remaining
0	967	95751
1	1459	71505
2	1973	63795
3	2466	59190
4	2970	56431
5	3462	54242
6	3948	52464
7	4443	51103
8	4918	49729
9	5397	48573
10	5884	47612
11	6360	46645
12	6831	45717
13	7304	44871
14	7778	44078
15	8251	43318
16	8729	42619
17	9203	41928
18	9671	41230
19	10138	40554
20	10609	39911
21	11081	39290
22	11552	38677
23	12029	38094
24	12508	37526
25	12979	36940
26	13449	36364
27	13922	35801
28	14396	35245
29	14865	34686
30	15339	34143
31	15813	33603
32	16289	33073
33	16767	32549
34	17240	32017
35	17709	31483
36	18173	30943
37	18654	30436
38	19147	29949
39	19629	29443
40	20108	28936
41	20591	28435
42	21070	27930
43	21554	27432
44	22036	26934
45	22538	26458
46	23025	25964
47	23516	25476
48	24018	24998
49	24506	24506
50	24995	24015
51	25474	23515
52	25942	23005
53	26411	22498
54	26901	22010
55	27381	21513
56	27861	21018
57	28340	20522
58	28824	20030
59	29309	19539
60	29780	19039
61	30258	18545
62	30736	18051
63	31207	17554
64	31684	17061
65	32164	16569
66	32665	16089
67	33146	15598
68	33631	15109
69	34137	14630
70	34629	14144
71	35127	13660
72	35602	13168
73	36062	12670
74	36532	12177
75	36998	11683
76	37481	11195
77	37951	10704
78	38412	10210
79	38866	9716
80	39330	9225
81	39797	8736
82	40254	8244
83	40724	7757
84	41188	7268
85	41649	6780
86	42113	6292
87	42600	5809
88	43076	5324
89	43563	4840
90	44051	4356
91	44521	3871
92	44989	3386
93	45473	2902
94	45955	2418
95	46439	1934
96	46897	1450
97	47357	966
98	47823	483
99	48289	0
